change_type,opportunity_id,request_id,satellite_id,sensor_type,start_utc,end_utc,objective_contribution
ADDED,OPP-EO-0111,REQ-EO-004,EO-02,OPTICAL,2026-07-15T09:34:12.301140+00:00,2026-07-15T09:34:26.468140+00:00,64.08025
ADDED,OPP-EO-0131,REQ-EO-006,EO-02,OPTICAL,2026-07-15T11:34:46.671725+00:00,2026-07-15T11:35:00.838725+00:00,74.7
ADDED,OPP-EO-0151,REQ-EO-008,EO-02,OPTICAL,2026-07-15T09:46:44.799384+00:00,2026-07-15T09:46:58.966384+00:00,94.465
ADDED,OPP-SAR-0064,REQ-SAR-007,SAR-02,SAR,2026-07-15T09:17:04.835860+00:00,2026-07-15T09:19:11.502860+00:00,93.111183
ADDED,OPP-URGENT-001,REQ-URGENT-001,SAR-04,SAR,2026-07-15T10:56:45.952229+00:00,2026-07-15T10:57:32.619229+00:00,204.9
REMOVED,OPP-EO-0096,REQ-EO-002,EO-01,OPTICAL,2026-07-15T10:49:03.127564+00:00,2026-07-15T10:49:17.294564+00:00,84.7
REMOVED,OPP-EO-0106,REQ-EO-003,EO-02,OPTICAL,2026-07-15T11:44:31.163609+00:00,2026-07-15T11:44:45.330609+00:00,74.7
REMOVED,OPP-EO-0116,REQ-EO-004,EO-01,OPTICAL,2026-07-15T12:53:50.036456+00:00,2026-07-15T12:54:04.203456+00:00,64.08025
REMOVED,OPP-EO-0136,REQ-EO-006,EO-01,OPTICAL,2026-07-15T14:47:28.058526+00:00,2026-07-15T14:47:42.225526+00:00,74.7
REMOVED,OPP-EO-0156,REQ-EO-008,EO-01,OPTICAL,2026-07-15T13:18:58.541515+00:00,2026-07-15T13:19:12.708515+00:00,94.465
REMOVED,OPP-SAR-0066,REQ-SAR-007,SAR-04,SAR,2026-07-15T10:56:45.952229+00:00,2026-07-15T10:57:32.619229+00:00,93.340834
