metric,value
schedule_id,SCHEDULE-EXAMPLE-CP-SAT-REPLAN-20260715T060000Z
schedule_status,FEASIBLE
total_active_requests,20
requests_with_entries,20
fully_satisfied_requests,20
partially_satisfied_requests,0
unassigned_requests,0
mandatory_requests,4
mandatory_satisfied_requests,4
satisfaction_ratio,1.0
mandatory_satisfaction_ratio,1.0
total_acquisitions,24
sar_acquisitions,12
optical_acquisitions,12
total_duration_s,636.674
total_data_volume_mb,11240.137
objective_value,2077.320613
average_selected_quality,0.707053
average_selected_coverage,0.966933
selected_to_feasible_ratio,0.421053
